Number of Nodes,Part 1,Part 2
2,0.0000064573,0.0000046583
4,0.0000057060,0.0000153260
8,0.0000132480,0.0000162957
16,0.0000233680,0.0000245817
32,0.0000776460,0.0000365883
64,0.0003287813,0.0000881157
128,0.0011340354,0.0001755307
256,0.0052382327,0.0004800523
512,0.0200370140,0.0010516643
1024,0.0727605571,0.0026314966
2048,0.3084396621,0.0066530731
4096,1.3221735954,0.0174406354
8192,5.0740331014,0.0426893992
16384,0.0000000000,0.0933949252
32768,0.0000000000,0.2142589092
65536,0.0000000000,0.5494081179
131072,0.0000000000,1.4065331618
262144,0.0000000000,3.5592745145
524288,0.0000000000,9.1063308716
1048576,0.0000000000,22.9635079702
